,"deklination","stamme"
"sanus","1./2.","o-/a-stamme"
"sapiens","1./2.","o-/a-stamme"
"sardinus","1./2.","o-/a-stamme"
"scenofactorius","1./2.","o-/a-stamme"
"secundoprimus","1./2.","o-/a-stamme"
"securus","1./2.","o-/a-stamme"
"seditiosus","1./2.","o-/a-stamme"
"seminiverbius","1./2.","o-/a-stamme"
"semivivus","1./2.","o-/a-stamme"
"sempiternus","1./2.","o-/a-stamme"
"senex","3.","urelmæssig"
"seni","1./2.","o-/a-stamme"
"sequens","3.","t-stamme"
"serenus","1./2.","o-/a-stamme"
"silvestris","3.","r-stamme"
"similis","3.","i-stamme"
"simplex","3. ","c-stamme"
"sincerus","1./2.","o-/a-stamme"
"singularis","3.","i-stamme"
"singulus","1./2.","o-/a-stamme"
"sinister","3. ","r-stamme"
"smaragdinus","1./2.","o-/a-stamme"
"sobrius","1./2.","o-/a-stamme"
"sollemnis","3.","i-stamme"
"sollicitus","1./2.","o-/a-stamme"
"solus","1./2.","o-/a-stamme"
"spatiosus","1./2.","o-/a-stamme"
"speciosus","1./2.","o-/a-stamme"
"spicatus","1./2.","o-/a-stamme"
"spineus","1./2.","o-/a-stamme"
"spiritalis","3.","i-stamme"
"splendidus","1./2.","o-/a-stamme"
"stabilis","3.","i-stamme"
"sterilis","3.","i-stamme"
"stoicus","1./2.","o-/a-stamme"
"stultus","1./2.","o-/a-stamme"
"suavis","3.","i-stamme"
"subditus","1./2.","o-/a-stamme"
"subdolus","1./2.","o-/a-stamme"
"subiectus","1./2.","o-/a-stamme"
"sublimus","1./2.","o-/a-stamme"
"sulphureus","1./2.","o-/a-stamme"
"summus","1./2.","o-/a-stamme"
"superadultus","1./2.","o-/a-stamme"
"superbus","1./2.","o-/a-stamme"
"supernus","1./2.","o-/a-stamme"
"superstitiosus","1./2.","o-/a-stamme"
"supersubstantialis","3.","i-stamme"
"superus","1./2.","o-/a-stamme"
"surdus","1./2.","o-/a-stamme"
"Syrus","1./2.","o-/a-stamme"
"tantus","1./2.","o-/a-stamme"
"tardus","1./2.","o-/a-stamme"
"Tarsensis","3.","i-stamme"
"temporalis","3.","i-stamme"
"tenebrosus","1./2.","o-/a-stamme"
"tener","1./2.","o-/a-stamme"
"tepidus","1./2.","o-/a-stamme"
"terni","1./2.","o-/a-stamme"
"terrenus","1./2.","o-/a-stamme"
"terrestris","3.","i-stamme"
"Thessalonicensis","3.","i-stamme"
"thyinus","1./2.","o-/a-stamme"
"timefactus","1./2.","o-/a-stamme"
"timidus","1./2.","o-/a-stamme"
"timoratus","1./2.","o-/a-stamme"
"totus","1./2.","o-/a-stamme"
"tristis","3.","i-stamme"
"turpilucrus","1./2.","o-/a-stamme"
"turpis","3.","i-stamme"
"tutus","1./2.","o-/a-stamme"
"tuus","1./2.","o-/a-stamme"
"typhonicus","1./2.","o-/a-stamme"
"uber","3.","r-stamme"
"ultimus","1./2.","o-/a-stamme"
"unianimis","3.","i-stamme"
"unicus","1./2.","o-/a-stamme"
"unigenitus","1./2.","o-/a-stamme"
"universus","1./2.","o-/a-stamme"
"unoculus","1./2.","o-/a-stamme"
"utilis","3.","i-stamme"
"vacuus","1./2.","o-/a-stamme"
"validus","1./2.","o-/a-stamme"
"vaniloquus","1./2.","o-/a-stamme"
"vanus","1./2.","o-/a-stamme"
"varius","1./2.","o-/a-stamme"
"vehemens","3.","t-stamme"
"velox","3.","c-stamme"
"veneficus","1./2.","o-/a-stamme"
"verax","3.","c-stamme"
"verus","1./2.","o-/a-stamme"
"vetus","1./2.","o-/a-stamme"
"vicinus","1./2.","o-/a-stamme"
"vinolentus","1./2.","o-/a-stamme"
"violentus","1./2.","o-/a-stamme"
"viridis","3.","i-stamme"
"visibilis","3.","i-stamme"
"vitreus","1./2.","o-/a-stamme"
"vivus","1./2.","o-/a-stamme"
"voluntarius","1./2.","o-/a-stamme"
"vorax","3.","c-stamme"
