12,"viam","via","noun",,"singular",,,,"feminine","accusative",,"ja",,"1.","a-stamme",
12,"latam","latus","adjective",,"singular",,,,"feminine","accusative",,"ja",,"1./2.","o-/a-stamme",
12,"videmus;","video","verb","first_person","plural","present","indicative","active",,,,"ja","2.",,"e-stamme",
12,"post","post","preposition",,,,,,,,,"nej",,,,
12,"villam","villa","noun",,"singular",,,,"feminine","accusative",,"ja",,"1.","a-stamme",
12,"piscina","piscina","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
12,"bona","bonus","adjective",,"singular",,,,"feminine","nominative",,"ja",,"1./2.","o-/a-stamme",
12,"et","et","conjunction",,,,,,,,,"nej",,,,
12,"vinea","vinea","noun",,"plural",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
12,"fecunda","fecundus","adjective",,"plural",,,,"feminine","nominative",,"ja",,"1./2.","o-/a-stamme",
12,"sunt","sum","verb","third_person","plural","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
13,"Aqua","aqua","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Aqua piscinae frigida est"
13,"piscinae","piscina","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
13,"frigida","frigidus","adjective",,"singular",,,,"feminine","nominative","positive","ja",,"1./2.","o-/a-stamme",
13,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
14,"Claudia","Claudia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Claudia familiam bonam habet"
14,"familiam","familia","noun",,"singular",,,,"feminine","accusative",,"ja",,"1.","a-stamme",
14,"bonam","bonus","adjective",,"singular",,,,"feminine","accusative","positive","ja",,"1./2.","o-/a-stamme",
14,"habet","habeo","verb","third_person","singular","present","indicative","active",,,,"ja","2.",,"e-stamme",
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
15,"Sophia","Sophia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Sophia et Hilda sunt ancillae Claudiae"
15,"et","et","conjunction",,,,,,,,,"nej",,,,
15,"Hilda","Hilda","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
15,"sunt","sum","verb","third_person","plural","present","indicative","active",,,,"ja",,,,
15,"ancillae","ancilla","noun",,"plural",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
15,"Claudiae","Claudia","noun",,"singular",,,,"feminine","genitive",,"ja",,"1.","a-stamme",
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
16,"Hilda","Hilda","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","
Hilda in Thya nata est"
16,"in","in","preposition",,,,,,,,,"nej",,,,
16,"Thyra","Thyra","noun",,"singular",,,,"feminine","ablative",,"ja",,"1.","a-stamme",
16,"nata","natus","adjective",,"singular",,,,"feminine","nominative",,"ja",,"1./2.","o-/a-stamme",
16,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
17,"Sophia","Sophia","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Sophia est ancilla Graeca"
17,"est","sum","verb","third_person","singular","present","indicative","active",,,,"ja",,,,
17,"ancilla ","ancilla ","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme",
17,"Graeca","Graecus","adjective",,"singular",,,,"feminine","nominative","positive","ja",,"1./2.","o-/a-stamme",
"Bibelreference","Ord i teksten","Leksem","Ordklasse","Person","Tal","Tid","Modus","Diatese","Køn","Kasus","Grad","Er ordet bøjeligt?","Konjugation (for verber du ikke tidligere har oplyst)","Deklination (for substativer du ikke tidligere har oplyst)",,"Tekst"
18,"Hilda","Hilda","noun",,"singular",,,,"feminine","nominative",,"ja",,"1.","a-stamme","Hilda curiosa est, et Sophia scientiam, magnam habet"
